"Teritoriālā vienība","2018 Iedzīvotāju skaits gada sākumā"
"Rīga",637971
"Daugavpils",83250
"Jelgava",56383
"Jēkabpils",22188
"Jūrmala",49073
"Liepāja",69180
"Rēzekne",28156
"Valmiera",23063
"Ventspils",34855
"Aglonas novads",3309
"Aizkraukles novads",8130
"Aizkraukle",7098
"Aizputes novads",8355
"Aizpute",4155
"Aknīstes novads",2557
"Aknīste",1031
"Alojas novads",4680
"Aloja",1122
"Staicele",877
"Alsungas novads",1322
"Alūksnes novads",14472
"Alūksne",6784
"Amatas novads",5003
"Apes novads",3345
"Ape",850
"Auces novads",6289
"Auce",2333
"Ādažu novads",11184
"Babītes novads",10350
"Baldones novads",5485
"Baldone",3801
"Baltinavas novads",1000
"Balvu novads",12129
"Balvi",6135
"Bauskas novads",23061
"Bauska",8515
"Beverīnas novads",3006
"Brocēnu novads",5622
"Brocēni",2840
"Burtnieku novads",7584
"Carnikavas novads",8626
"Cesvaines novads",2422
"Cesvaine",1382
"Cēsu novads",16489
"Cēsis",15137
"Ciblas novads",2515
"Dagdas novads",6992
"Dagda",2065
"Daugavpils novads",20684
"Dobeles novads",19768
"Dobele",9119
"Dundagas novads",3740
"Durbes novads",2681
"Durbe",503
"Engures novads",7080
"Ērgļu novads",2747
"Garkalnes novads",8344
"Grobiņas novads",8479
"Grobiņa",3597
"Gulbenes novads",20431
"Gulbene",7388
"Iecavas novads",8424
"Ikšķiles novads",9643
"Ikšķile",7068
"Ilūkstes novads",6820
"Ilūkste",2287
"Subate",635
"Inčukalna novads",7558
"Vangaži",3279
"Jaunjelgavas novads",5252
"Jaunjelgava",1843
"Jaunpiebalgas novads",2086
"Jaunpils novads",2239
"Jelgavas novads",22244
"Jēkabpils novads",4419
"Kandavas novads",7853
"Kandava",3548
"Kārsavas novads",5393
"Kārsava",1962
"Kocēnu novads",5912
"Kokneses novads",5020
"Krāslavas novads",14542
"Krāslava",7796
"Krimuldas novads",4885
"Krustpils novads",5603
"Kuldīgas novads",22630
"Kuldīga",10623
"Ķeguma novads",5374
"Ķegums",2125
"Ķekavas novads",23042
"Baloži",6397
"Lielvārdes novads",9735
"Lielvārde",5983
"Limbažu novads",16312
"Limbaži",7111
"Līgatnes novads",3262
"Līgatne",994
"Līvānu novads",11029
"Līvāni",7291
"Lubānas novads",2287
"Lubāna",1561
"Ludzas novads",12416
"Ludza",7894
"Madonas novads",22604
"Madona",7106
"Mazsalacas novads",2990
"Mazsalaca",1132
"Mālpils novads",3411
"Mārupes novads",19456
"Mērsraga novads",1478
"Naukšēnu novads",1731
"Neretas novads",3442
"Nīcas novads",3209
"Ogres novads",33083
"Ogre",23272
"Olaines novads",19409
"Olaine",10934
"Ozolnieku novads",9864
"Pārgaujas novads",3666
"Pāvilostas novads",2575
"Pāvilosta",894
"Pļaviņu novads",5031
"Pļaviņas",3086
"Preiļu novads",9382
"Preiļi",6423
"Priekules novads",5203
"Priekule",1934
"Priekuļu novads",7719
"Raunas novads",3096
"Rēzeknes novads",25274
"Riebiņu novads",4779
"Rojas novads",3527
"Ropažu novads",6800
"Rucavas novads",1538
"Rugāju novads",2160
"Rundāles novads",3407
"Rūjienas novads",4992
"Rūjiena",2796
"Salacgrīvas novads",7423
"Ainaži",689
"Salacgrīva",2654
"Salas novads",3403
"Salaspils novads",22555
"Salaspils",18071
"Saldus novads",22422
"Saldus",10053
"Saulkrastu novads",5751
"Saulkrasti",2859
"Sējas novads",2185
"Siguldas novads",17337
"Sigulda",11376
"Skrīveru novads",3366
"Skrundas novads",4747
"Skrunda",1958
"Smiltenes novads",12082
"Smiltene",5225
"Stopiņu novads",10492
"Strenču novads",2945
"Seda",1105
"Strenči",1025
"Talsu novads",28071
"Sabile",1333
"Stende",1643
"Talsi",9269
"Valdemārpils",1199
"Tērvetes novads",3396
"Tukuma novads",27901
"Tukums",16937
"Vaiņodes novads",2337
"Valkas novads",7813
"Valka",4592
"Varakļānu novads",3132
"Varakļāni",1815
"Vārkavas novads",1869
"Vecpiebalgas novads",3615
"Vecumnieku novads",7893
"Ventspils novads",11061
"Piltene",903
"Viesītes novads",3619
"Viesīte",1544
"Viļakas novads",4733
"Viļaka",1301
"Viļānu novads",5659
"Viļāni",2891
"Zilupes novads",2766
"Zilupe",1437
